수행단계,하위분류,백로그_항목(TASK),산출물
구현,화면,직원 요청 대시보드 화면 개발 (요청 목록/필터/실시간 수신),S-02 대시보드 화면
구현,화면,직원 요청 상세 및 응답 화면 개발 (대화내역/응답입력/내부메모/부서전달),S-03 요청상세 화면
구현,화면,관리자 로그인 화면 개발,A-01 관리자로그인 화면
구현,화면,관리자 대시보드 화면 개발 (태스크보드/컨펌대기열/인수인계 브리핑),A-02 관리대시보드 화면
구현,화면,관리자 설정 화면 개발 (호텔/객실/부서/직원/빠른버튼/투숙객 관리),A-03 설정 화면
구현,기능-인증,투숙객 객실번호+이름 인증 기능 구현,투숙객 인증 API
구현,기능-인증,직원 PIN 코드 로그인 및 JWT 발급 기능 구현,직원 로그인 API
구현,기능-인증,관리자 ID+비밀번호 로그인 및 JWT 발급 기능 구현,관리자 로그인 API
구현,기능-인증,투숙객/직원/관리자 인증 API 엔드포인트 구현,인증 REST API
구현,기능-인증,직원/투숙객 정보 DB 저장 및 조회 어댑터 구현,인증 DB 어댑터
구현,기능-PMS,Mock PMS 시드 데이터 생성 (샘플 예약/투숙객/객실 배정),data.sql / seed 스크립트
구현,기능-PMS,투숙객 예약 정보 조회 기능 구현 (체크인/체크아웃/객실번호/투숙객명),예약 조회 API
구현,기능-PMS,투숙객 인증 시 PMS 예약 데이터와 대조 검증 기능 구현,PMS 검증 서비스
구현,기능-PMS,관리자가 Mock PMS 데이터를 등록/수정하는 기능 구현,PMS 관리 API
구현,기능-채팅,고객이 메시지를 보내는 기능 구현 (AI 분석 트리거 포함),메시지 전송 API
구현,기능-채팅,대화 내역을 조회하는 기능 구현,대화 조회 API
구현,기능-채팅,채팅 API 엔드포인트 및 메시지 DB 저장 어댑터 구현,채팅 REST API / DB 어댑터
구현,기능-AI분석,고객 발화를 분석하여 부서/품목/수량 코드로 변환하는 AI 기능 구현,NLU 분석 AI 엔드포인트
구현,기능-AI분석,백엔드에서 AI 서버를 호출하는 연동 어댑터 구현,NLU AI 연동 어댑터
구현,기능-요청생성,고객 요청을 태스크로 자동 생성하는 기능 구현,태스크 생성 API
구현,기능-요청생성,요청 데이터 DB 저장 및 조회 어댑터 구현,요청 DB 어댑터
구현,기능-실시간알림,상태 변경 이벤트를 발행하는 기능 구현,이벤트 발행 서비스
구현,기능-실시간알림,웹소켓으로 실시간 알림을 전송하는 어댑터 구현,웹소켓 전송 어댑터
구현,기능-실시간알림,알림 발송 이력을 DB에 저장하는 어댑터 구현,알림 이력 DB 어댑터
구현,기능-직원처리,직원이 요청을 수락/완료/전달하는 기능 구현 (동시 배정 방지 포함),요청 처리 API (낙관적 락)
구현,기능-직원처리,직원 요청 처리 API 엔드포인트 구현 (상태변경/응답/메모),직원용 REST API
구현,기능-되묻기,AI 되묻기(부족한 정보 재질문) 연동 어댑터 구현,되묻기 AI 연동 어댑터
구현,기능-되묻기,AI가 고객에게 부족한 정보를 되묻는 기능 구현 (슬롯 필링),되묻기 AI 엔드포인트
구현,기능-조회,요청 목록 및 상세 정보를 조회하는 기능 구현,요청 조회 API
구현,기능-관리자,호텔 정보를 등록/수정/삭제하는 기능 구현,호텔 관리 API
구현,기능-관리자,객실 정보를 등록/수정/삭제하는 기능 구현,객실 관리 API
구현,기능-관리자,부서 정보를 등록/수정/삭제하는 기능 구현,부서 관리 API
구현,기능-관리자,호텔/객실/부서 관리 API 엔드포인트 구현,관리자 설정 REST API
구현,기능-관리자,관리자가 요청을 컨펌/재배정/에스컬레이션하는 기능 구현,컨펌/재배정 API
구현,기능-관리자,관리자 컨펌 대기열 및 수동 재배정 API 엔드포인트 구현,관리자 요청관리 REST API
구현,기능-RAG,고객 질문에 대해 지식DB에서 답변을 검색하는 기능 구현,RAG 검색 API
구현,기능-RAG,관리자가 새 지식을 승인하여 DB에 등록하는 기능 구현,지식 승인 API
구현,기능-RAG,벡터DB에서 유사 질문을 검색하고 답변을 생성하는 AI 기능 구현,RAG AI 엔드포인트
구현,기능-RAG,백엔드에서 RAG AI 서버를 호출하는 연동 어댑터 구현,RAG AI 연동 어댑터
구현,기능-RAG,고객/관리자용 RAG API 엔드포인트 및 지식 DB 저장 어댑터 구현,RAG REST API / DB 어댑터
구현,기능-인수인계,교대 시 미처리 업무를 요약 브리핑하는 기능 구현,인수인계 브리핑 API
구현,기능-인수인계,태스크 데이터를 자연어 브리핑으로 요약하는 AI 기능 구현,인수인계 AI 엔드포인트
구현,기능-인수인계,인수인계 AI 연동 어댑터 및 API 엔드포인트 구현,인수인계 REST API / AI 어댑터
테스트,,핵심 루프 E2E 통합 테스트 (고객요청→AI분석→태스크생성→직원처리→상태반영),테스트 결과 보고서
테스트,,최종 점검 및 긴급 버그 수정 + API 문서 확인,Swagger API 문서 / 버그 수정 내역
이행,,도커 프로덕션 빌드 + HTTPS 설정 + 최종 배포,프로덕션 배포 완료
이행,,PWA 설정 + 서비스워커 + QR 코드 생성,manifest.json / QR 코드
