Issue Id,Summary,Issue Type,Parent Id,Priority,Start date,Due date,Labels,Description
55,RQ: 실시간 요청 진행 상태 표시 카드 개발,Task,48,Highest,2026-05-14,2026-05-14,구현 Feature FE,타임라인 뷰 UI
56,직원 태스크 (staff/task),Epic,,,,,,태스크수락 완료 전달 응답
57,TK: 직원 태스크 상태 변경 기능 (수락/완료/전달),Task,56,Highest,2026-05-14,2026-05-14,구현 Feature BE,수락/완료/부서전달 상태 전이 API. 동시 수락 충돌 방지를 위해 낙관적 락(Version) 적용
58,TK: 직원의 투숙객 메시지 응답 기능 (번역),Task,56,Highest,2026-05-14,2026-05-14,구현 Feature BE,직원이 한국어로 작성한 응답을 투숙객 언어로 자동 번역하여 전달. 원문과 번역문 모두 저장
59,TK: 직원 태스크 API 및 DB 어댑터 구현,Task,56,Highest,2026-05-15,2026-05-15,구현 Feature BE,REST API 및 영속성
60,TK: 직원 대시보드 화면 개발 (실시간 목록/필터),Task,56,Highest,2026-05-15,2026-05-15,구현 Feature FE,업무 리스트 뷰
61,TK: 직원 업무 상세 및 응답 화면 개발,Task,56,Highest,2026-05-15,2026-05-15,구현 Feature FE,업무 상세 뷰
62,관리자 태스크 (admin/task),Epic,,,,,,모니터링 상세조회 컨펌승인 재배정 수동생성
63,AD: 관리자 태스크보드 전체 현황 조회 기능,Task,62,Highest,2026-05-18,2026-05-18,구현 Feature Full,목록+필터 API + 대시보드 리스트 뷰
64,AD: 관리자 요청 상세 조회 기능,Task,62,Highest,2026-05-18,2026-05-18,구현 Feature Full,상세 API + 대화이력/메모 조회 + 상세 화면
65,AD: 컨펌 대기열 조회 및 에스컬레이션 승인 기능,Task,62,Highest,2026-05-18,2026-05-18,구현 Feature Full,에스컬레이션 목록 + 승인 API + 대기열 UI
66,AD: 요청 수동 재배정 기능,Task,62,Highest,2026-05-18,2026-05-18,구현 Feature Full,재배정 API + 재배정 모달 UI
67,AD: 관리자 수동 태스크 생성 기능,Task,62,Highest,2026-05-18,2026-05-18,구현 Feature Full,생성 API + 생성 폼 UI
68,관리 설정 (admin/settings),Epic,,,,,,직원CRUD 객실CRUD 부서CRUD
69,ST: 직원 정보 등록 및 관리(CRUD) 기능,Task,68,Highest,2026-05-19,2026-05-19,구현 Feature BE,직원 관리 서비스
70,ST: 객실 정보 등록 및 관리(CRUD) 기능,Task,68,Highest,2026-05-19,2026-05-19,구현 Feature BE,객실 관리 서비스
71,ST: 부서 정보 등록 및 관리(CRUD) 기능,Task,68,Highest,2026-05-19,2026-05-19,구현 Feature BE,부서 관리 서비스
72,ST: 설정 관리 API 및 도메인별 DB 어댑터 구현,Task,68,Highest,2026-05-19,2026-05-19,구현 Feature BE,REST API 및 영속성
73,ST: 관리자 설정 화면 개발 (데이터 그리드 CRUD),Task,68,Highest,2026-05-19,2026-05-19,구현 Feature FE,설정 뷰
74,AI 공통 인프라 (Router + JSON 스키마),Epic,,,,,,도메인라우팅 공통JSON 백엔드파서
75,AI: 공통 JSON 응답 스키마 정의 및 검증 로직,Task,74,Highest,2026-05-04,2026-05-04,구현 Feature AI,mode/domain/intent/entities/confidence 등 공통 스키마 확정 + JSON Schema Validation
76,AI: Gemini 클라우드 라우터 개발 (도메인 분류),Task,74,Highest,2026-05-04,2026-05-06,구현 Feature AI,고객 입력 → 6개 도메인 중 하나로 라우팅. confidence < 0.7이면 FRONT(Fallback)
77,AI: 백엔드 JSON 파서 및 도메인 코드 Enum 검증,Task,74,Highest,2026-05-06,2026-05-07,구현 Feature BE,AI JSON 응답 파싱 → DomainCode/Intent Enum 매핑. 미정의 값은 UNDEFINED + Fallback
78,AI: 백엔드 entities(JSONB) 저장 및 조회 어댑터,Task,74,Highest,2026-05-07,2026-05-07,구현 Feature BE,request.entities JSONB 저장/조회. 부서별 가변 데이터 핸들링
79,AI 프론트데스크 Agent (FRONT — Safety/Fallback),Epic,,,,,,PII마스킹 Fallback에스컬레이션 confidence분기
80,FD: PII 정규식 마스킹 선제 방어 로직,Task,79,Highest,2026-05-07,2026-05-08,구현 Feature AI,AI 전달 전 전화번호·이메일·여권 등 PII를 정규식 마스킹
81,FD: 미등록 도메인/의도 감지 시 Fallback 에스컬레이션,Task,79,Highest,2026-05-08,2026-05-08,구현 Feature AI,라우터 분류 불가(UNKNOWN) 시 관리자 컨펌 대기열 이관
82,FD: confidence 기반 자동/수동 분기 로직,Task,79,Highest,2026-05-08,2026-05-09,구현 Feature AI,0.7 이상 → 자동처리. 미만 → 관리자 컨펌 대기
83,FD: 프론트 데스크 도메인 RAG 지식 구성,Task,79,High,2026-05-09,2026-05-09,구현 Feature AI,체크인/아웃·호텔 정책·분류 불가 안내 등 지식 임베딩
84,AI 하우스키핑 Agent (HK — 비품요청 + One-pass),Epic,,,,,,다국어One-pass JSON출력 비품Entity 되묻기
85,HK: 다국어 One-pass 프롬프트 설계 (JSON 출력),Task,84,Highest,2026-05-08,2026-05-09,구현 Feature AI,언어감지+번역+분류를 단일 호출로 → JSON 형태 출력
86,HK: 비품 Entity 추출 및 되묻기(Clarification) 로직,Task,84,Highest,2026-05-09,2026-05-10,구현 Feature AI,품목·수량 누락 시 needs_clarification=true + 질문 생성
87,HK: 하우스키핑 도메인 RAG 지식 구성,Task,84,High,2026-05-10,2026-05-10,구현 Feature AI,객실 비품 목록·수량 제한·운영 시간 등 지식 임베딩
88,HK: 비품 코드 시드 데이터 및 entities 스키마 정의,Task,84,Highest,2026-05-08,2026-05-08,구현 Feature BE,TOWEL/WATER/AMENITY 등 + 수량 기본값 정의
89,AI 식음료 Agent (FB — 룸서비스 + RAG 검색),Epic,,,,,,벡터검색 유사도판정 메뉴/알러지룰
90,FB: 임베딩 변환 및 pgvector 유사도 검색 엔진 개발,Task,89,Highest,2026-05-08,2026-05-10,구현 Feature AI,FAQ 벡터 검색 + 유사도 0.7 미만 Fallback
91,FB: 메뉴/알러지/운영시간 룰 기반 응답 로직,Task,89,Highest,2026-05-10,2026-05-11,구현 Feature AI,주문 불가 시간·알러지 주의 등 규칙 반영
92,FB: 식음료 도메인 RAG 지식 구성 (메뉴판·가격·시간),Task,89,High,2026-05-11,2026-05-12,구현 Feature AI,호텔 메뉴·가격·운영 시간 사전 임베딩
93,FB: FAQ 초기 지식베이스 시드 임베딩 적재,Task,89,High,2026-05-12,2026-05-12,구현 Feature AI,조식시간·와이파이·편의시설 등 공통 FAQ 사전 적재
94,AI 컨시어지 Agent (CONCIERGE — 자유질문 + Self-Tuning),Epic,,,,,,오답노트 퓨샷주입 관광/교통RAG
95,CC: 관리자 수동 정정 데이터(오답노트) DB 적재 로직,Task,94,High,2026-05-08,2026-05-09,구현 Feature AI,관리자 정정 이력 → fewshot_example 테이블 저장
96,CC: 추론 시 Few-Shot 예시 동적 프롬프트 주입 로직,Task,94,High,2026-05-09,2026-05-10,구현 Feature AI,오답노트 DB에서 최근 사례 조회 → 프롬프트에 주입
97,CC: 컨시어지 도메인 RAG 지식 구성 (관광·교통·맛집),Task,94,High,2026-05-10,2026-05-11,구현 Feature AI,주변 관광지·교통·맛집 등 지식 임베딩
98,CC: 택시/짐보관 등 외부 서비스 Entity 추출,Task,94,High,2026-05-11,2026-05-12,구현 Feature AI,transport_type/destination/pickup_time 등 추출
99,AI 시설관리 Agent (FACILITY — 고장신고 + RAG 적재),Epic,,,,,,미답변클러스터링 지식승인 임베딩적재 고장Entity
100,FC: 미답변 질문 배치 클러스터링(Cron) 로직,Task,99,High,2026-05-08,2026-05-10,구현 Feature AI,미답변 질문 주기적 수집 → 유사 질문 군집화
101,FC: 관리자 승인 텍스트 → 임베딩 → 벡터DB 자동 삽입,Task,99,High,2026-05-10,2026-05-11,구현 Feature AI,데이터 플라이휠: 승인된 FAQ 자동 RAG 확장
102,FC: 시설관리 도메인 RAG 지식 구성 (고장 증상·대응),Task,99,High,2026-05-11,2026-05-12,구현 Feature AI,에어컨·배관·전기 등 고장 유형별 대응 지식
103,FC: 고장 증상 Entity 추출 (대상물·증상·위치),Task,99,High,2026-05-12,2026-05-13,구현 Feature AI,target_object/symptom 등 Entity 추출
104,AI 긴급대응 Agent (EMERGENCY — 즉각이관 + NLG 요약),Epic,,,,,,긴급감지 에스컬레이션 NLG요약 인수인계
105,EM: 긴급 상황 감지 및 priority=URGENT 자동 설정,Task,104,Highest,2026-05-08,2026-05-09,구현 Feature AI,화재·의료·위협 키워드 감지 → 즉각 에스컬레이션
106,EM: 육하원칙 기반 핵심 팩트 초고속 NLG 요약,Task,104,Highest,2026-05-09,2026-05-10,구현 Feature AI,횡설수설한 발화 → 누가/어디서/무엇을 3줄 요약
107,EM: 인수인계 브리핑 자동 생성 프롬프트 튜닝,Task,104,High,2026-05-18,2026-05-19,구현 Feature AI,교대 기간 전 부서 태스크 취합 → AI 3~5줄 자연어 요약
108,EM: 인수인계 브리핑 API 및 DB 어댑터 구현,Task,104,High,2026-05-19,2026-05-19,구현 Feature BE,REST API + handover_briefing 영속성
109,EM: 관리자용 인수인계 브리핑 조회 화면 개발,Task,104,High,2026-05-19,2026-05-20,구현 Feature FE,전 부서 통합 브리핑 데이터 표 + AI 요약 뷰
110,테스트/배포,Epic,,,,,,E2E통합테스트 버그수정 프로덕션배포 PWA
111,고객요청→직원처리 핵심 루프 E2E 통합 테스트,Task,110,Highest,2026-05-22,2026-05-22,테스트 QA Full,시나리오 검증
112,"최종 점검, 긴급 버그 수정 및 Swagger API 점검",Task,110,Highest,2026-05-22,2026-05-22,테스트 QA Full,런칭 준비
113,"도커 프로덕션 빌드, HTTPS 설정 및 최종 배포",Task,110,Highest,2026-05-26,2026-05-26,이행 Deploy Full,프로덕션 환경
114,PWA 서비스워커 설정 및 접근용 QR 코드 생성,Task,110,Highest,2026-05-26,2026-05-26,이행 Deploy Full,모바일 앱 세팅

